NombreDepto,mpio_cdpmp,NombreEntidad,Población,Periodo
Boyacá,15778,Sutatenza,4223.0,2012
Boyacá,15790,Tasco,6542.0,2012
Boyacá,15798,Tenza,4286.0,2012
Boyacá,15804,Tibaná,9356.0,2012
Boyacá,15806,Tibasosa,13662.0,2012
Boyacá,15808,Tinjacá,3017.0,2012
Boyacá,15810,Tipacoque,3409.0,2012
Boyacá,15814,Toca,10300.0,2012
Boyacá,15816,Togüí,5061.0,2012
Boyacá,15820,Tópaga,3694.0,2012
Boyacá,15822,Tota,5490.0,2012
Boyacá,15832,Tununguá,1771.0,2012
Boyacá,15835,Turmequé,6598.0,2012
Boyacá,15837,Tuta,9481.0,2012
Boyacá,15839,Tutazá,1997.0,2012
Boyacá,15842,Umbita,10298.0,2012
Boyacá,15861,Ventaquemada,15163.0,2012
Boyacá,15879,Viracachá,3298.0,2012
Boyacá,15897,Zetaquira,4722.0,2012
Caldas,17000,Caldas,9944895.0,2012
Caldas,17001,Manizales,391640.0,2012
Caldas,17013,Aguadas,22728.0,2012
Caldas,17042,Anserma,34175.0,2012
Caldas,17050,Aranzazu,11842.0,2012
Caldas,17088,Belalcázar,11161.0,2012
Caldas,17174,Chinchiná,52096.0,2012
Caldas,17272,Filadelfia,11537.0,2012
Caldas,17380,La Dorada,75804.0,2012
Caldas,17388,La Merced,5860.0,2012
Caldas,17433,Manzanares,23805.0,2012
Caldas,17442,Marmato,8906.0,2012
Caldas,17444,Marquetalia,14956.0,2012
Caldas,17446,Marulanda,3429.0,2012
Caldas,17486,Neira,29829.0,2012
Caldas,17495,Norcasia,6530.0,2012
Caldas,17513,Pácora,12843.0,2012
Caldas,17524,Palestina,17865.0,2012
Caldas,17541,Pensilvania,26380.0,2012
Caldas,17614,Riosucio,59340.0,2012
Caldas,17616,Risaralda,9914.0,2012
Caldas,17653,Salamina,17638.0,2012
Caldas,17662,Samaná,25750.0,2012
Caldas,17665,San José,7590.0,2012
Caldas,17777,Supía,26169.0,2012
Caldas,17867,Victoria,8675.0,2012
Caldas,17873,Villamaría,53142.0,2012
Caldas,17877,Viterbo,12603.0,2012
Caquetá,18000,Caquetá,9944895.0,2012
Caquetá,18001,Florencia,163354.0,2012
Caquetá,18029,Albania,6419.0,2012
Caquetá,18094,Belén de Los Andaquies,11381.0,2012
Caquetá,18150,Cartagena del Chairá,31908.0,2012
Caquetá,18205,Curillo,11517.0,2012
Caquetá,18247,El Doncello,21986.0,2012
Caquetá,18256,El Paujil,19365.0,2012
Caquetá,18410,La Montañita,23140.0,2012
Caquetá,18460,Milán,11660.0,2012
Caquetá,18479,Morelia,3757.0,2012
Caquetá,18592,Puerto Rico,33067.0,2012
Caquetá,18610,San José del Fragua,14611.0,2012
Caquetá,18753,San Vicente del Caguán,64409.0,2012
Caquetá,18756,Solano,22319.0,2012
Caquetá,18785,Solita,9149.0,2012
Caquetá,18860,Valparaíso,11473.0,2012
Cauca,19000,Cauca,9944895.0,2012
Cauca,19001,Popayán,270340.0,2012
Cauca,19022,Almaguer,21077.0,2012
Cauca,19050,Argelia,25983.0,2012
Cauca,19075,Balboa,24967.0,2012
Cauca,19100,Bolívar,44350.0,2012
Cauca,19110,Buenos Aires,30493.0,2012
Cauca,19130,Cajibío,36596.0,2012
Cauca,19137,Caldono,32365.0,2012
Cauca,19142,Caloto,17536.0,2012
Cauca,19212,Corinto,30705.0,2012
Cauca,19256,El Tambo,47053.0,2012
Cauca,19290,Florencia,6095.0,2012
Cauca,19300,Guachené,19696.0,2012
Cauca,19318,Guapi,29463.0,2012
Cauca,19355,Inzá,29512.0,2012
Cauca,19364,Jambaló,16574.0,2012
Cauca,19392,La Sierra,10707.0,2012
Cauca,19397,La Vega,43799.0,2012
Cauca,19418,López,19961.0,2012
Cauca,19450,Mercaderes,17937.0,2012
Cauca,19455,Miranda,37592.0,2012
